PhiL	ThetaL	PhiP	ThetaP	PhiPi	ThetaPi
0.000   5.381	4.692   2.241   1.496   -0.908
0.000   6.136	4.723   2.983   1.677   -0.039
0.000   5.110	4.688   1.961   1.448   -1.136
0.000   0.039	1.573   0.058   1.553   -0.119
0.000   0.313	1.569   0.336   1.578   0.218
0.000   5.368	4.720   2.205   1.620   -0.775
0.000   5.848	4.718   2.710   1.588   -0.446
0.000   5.873	4.721   2.712   1.640   -0.259
0.000   6.229	4.734   3.079   1.671   -0.013
0.000   1.014	1.566   1.037   1.590   0.912
0.000   6.108	4.700   2.952   1.527   -0.125
0.000   0.594	1.589   0.612   1.486   0.508
0.000   6.266	4.696   3.141   1.496   -0.094
0.000   5.207	4.691   2.059   1.452   -1.032
0.000   6.214	4.696   3.063   1.445   0.009
0.000   0.098	1.571   0.080   1.573   0.261
0.000   0.629	1.553   0.645   1.660   0.546
0.000   0.344	1.590   0.355   1.487   0.295
0.000   5.934	4.735   2.802   1.699   -0.407
0.000   0.246	1.560   0.228   1.609   0.312
0.000   0.355	1.567   0.374   1.604   0.194
0.000   0.545	1.566   0.544   1.584   0.548
0.000   5.953	4.715   2.832   1.583   -0.423
0.000   6.165	4.723   3.038   1.662   -0.242
0.000   0.928	1.579   0.912   1.543   0.982
0.000   1.130	1.568   1.131   1.578   1.127
0.000   5.272	4.718   2.132   1.588   -1.015
0.000   5.929	4.716   2.809   1.596   -0.488
0.000   6.234	4.728   3.109   1.637   -0.119
0.000   0.495	1.548   0.488   1.690   0.534
0.000   5.860	4.705   2.694   1.531   -0.298
0.000   0.296	1.554   0.289   1.632   0.323
0.000   5.967	4.697   2.836   1.521   -0.352
0.000   0.298	1.572   0.295   1.567   0.307
0.000   0.553	1.585   0.534   1.492   0.658
0.000   5.260	4.713   2.114   1.573   -1.011
0.000   5.885	4.735   2.752   1.710   -0.449
0.000   6.056	4.695   2.906   1.436   -0.165
0.000   6.277	1.557   0.007   1.687   -0.122
0.000   5.529	4.720   2.411   1.605   -0.860
0.000   0.580	1.562   0.600   1.621   0.469
0.000   5.190	4.717   2.052   1.584   -1.105
0.000   0.157	1.565   0.172   1.633   0.011
0.000   6.168	4.719   3.040   1.640   -0.254
0.000   6.147	4.730   2.991   1.673   -0.051
0.000   5.330	4.693   2.177   1.462   -0.890
0.000   5.194	4.690   2.057   1.454   -1.111
0.000   6.124	4.717   2.999   1.586   -0.215
0.000   5.850	4.728   2.696   1.629   -0.388
0.000   5.358	4.703   2.195   1.526   -0.823
0.000   0.120	1.586   0.137   1.479   0.021
0.000   1.072	1.567   1.064   1.581   1.096
0.000   0.555	1.552   0.556   1.638   0.551
0.000   0.588	1.554   0.573   1.686   0.691
0.000   5.247	4.715   2.090   1.579   -0.982
0.000   0.345	1.590   0.350   1.492   0.322
0.000   0.928	1.580   0.910   1.537   0.992
0.000   5.940	4.692   2.809   1.466   -0.395
0.000   5.374	4.693   2.230   1.424   -0.891
0.000   0.555	1.559   0.535   1.645   0.677
0.000   0.150	1.553   0.143   1.727   0.209
0.000   0.379	1.572   0.399   1.564   0.302
0.000   0.621	1.582   0.635   1.474   0.500
0.000   0.144	1.575   0.125   1.534   0.292
0.000   0.000	1.583   0.020   1.521   -0.078
0.000   6.265	4.724   3.139   1.666   -0.139
0.000   6.049	4.711   2.903   1.566   -0.222
0.000   0.850	1.559   0.867   1.614   0.791
0.000   0.399	1.549   0.402   1.660   0.387
0.000   0.089	1.573   0.110   1.555   -0.071
