Plx	Ply	Plz	Ppx	Ppy	Ppz	Ppix	Ppiy	Ppiz
4.989	-0.331	-0.000	3.818	-0.209	-0.019	1.171	-0.122	0.019
3.495	3.575	-0.000	2.778	2.902	0.083	0.717	0.673	-0.083
4.681	1.758	0.000	3.941	1.576	-0.039	0.740	0.182	0.039
4.993	-0.275	0.000	3.868	-0.228	-0.056	1.125	-0.047	0.056
3.946	-3.070	-0.000	3.094	-2.416	0.078	0.852	-0.654	-0.078
3.959	3.052	-0.000	3.289	2.432	0.061	0.670	0.620	-0.061
4.405	2.365	0.000	3.558	1.994	0.068	0.847	0.371	-0.068
4.940	-0.769	0.000	3.826	-0.660	-0.019	1.114	-0.109	0.019
4.945	-0.732	-0.000	4.067	-0.666	-0.083	0.878	-0.065	0.083
3.800	-3.249	-0.000	2.877	-2.444	-0.033	0.923	-0.804	0.033
4.139	2.803	0.000	3.477	2.479	-0.024	0.662	0.325	0.024
4.428	-2.325	-0.000	3.561	-1.926	-0.069	0.866	-0.399	0.069
4.991	0.291	0.000	3.759	0.226	0.013	1.233	0.066	-0.013
1.804	-4.662	-0.000	1.447	-3.964	-0.067	0.357	-0.698	0.067
2.629	-4.254	-0.000	2.251	-3.698	-0.088	0.377	-0.557	0.088
2.617	-4.260	0.000	2.248	-3.731	-0.090	0.370	-0.529	0.090
3.650	-3.418	0.000	3.087	-2.952	0.086	0.562	-0.467	-0.086
4.895	1.019	0.000	3.990	0.742	0.029	0.906	0.277	-0.029
4.311	2.534	-0.000	3.771	2.219	-0.093	0.540	0.315	0.093
4.035	-2.951	0.000	3.465	-2.644	0.047	0.570	-0.307	-0.047
2.126	4.525	-0.000	1.586	3.421	-0.008	0.540	1.104	0.008
4.758	-1.537	0.000	4.004	-1.263	-0.096	0.754	-0.274	0.096
4.958	0.649	0.000	4.191	0.451	0.018	0.766	0.198	-0.018
3.153	-3.881	0.000	2.483	-3.025	-0.065	0.670	-0.856	0.065
4.982	0.431	0.000	4.603	0.447	-0.006	0.378	-0.016	0.006
2.227	-4.476	0.000	1.684	-3.496	-0.048	0.544	-0.980	0.048
3.872	3.163	0.000	3.474	2.823	-0.088	0.397	0.339	0.088
4.678	-1.764	-0.000	4.271	-1.554	-0.054	0.407	-0.209	0.054
3.963	3.049	0.000	3.159	2.490	-0.074	0.804	0.559	0.074
4.844	-1.240	0.000	4.331	-1.192	-0.019	0.513	-0.048	0.019
4.991	0.285	0.000	4.002	0.138	0.024	0.989	0.147	-0.024
4.978	0.468	0.000	3.808	0.415	0.005	1.170	0.054	-0.005
2.578	4.283	-0.000	2.042	3.291	-0.056	0.537	0.992	0.056
4.771	1.497	0.000	4.047	1.226	-0.091	0.724	0.271	0.091
3.494	-3.576	-0.000	2.792	-2.871	0.091	0.702	-0.704	-0.091
4.916	-0.914	0.000	4.450	-0.837	-0.077	0.466	-0.077	0.077
4.647	1.845	0.000	3.655	1.530	-0.035	0.992	0.315	0.035
3.782	-3.269	0.000	3.128	-2.756	0.098	0.654	-0.513	-0.098
4.833	1.278	0.000	3.910	1.065	0.094	0.923	0.213	-0.094
4.788	1.439	-0.000	4.360	1.325	0.073	0.427	0.115	-0.073
4.984	-0.396	0.000	3.744	-0.303	0.021	1.239	-0.093	-0.021
4.750	1.559	0.000	3.918	1.313	0.097	0.833	0.246	-0.097
2.323	-4.427	-0.000	1.731	-3.301	-0.004	0.592	-1.125	0.004
4.854	1.201	0.000	3.986	0.978	-0.096	0.868	0.223	0.096
4.804	1.386	0.000	3.664	1.014	-0.015	1.140	0.373	0.015
4.997	-0.179	-0.000	4.019	-0.112	0.083	0.978	-0.067	-0.083
3.162	-3.873	0.000	2.675	-3.406	-0.051	0.487	-0.468	0.051
2.951	4.036	0.000	2.231	3.134	-0.039	0.720	0.901	0.039
3.975	-3.033	-0.000	3.395	-2.632	0.094	0.580	-0.401	-0.094
4.746	-1.571	-0.000	3.634	-1.257	0.047	1.112	-0.314	-0.047
2.794	4.147	-0.000	2.118	3.263	-0.012	0.676	0.884	0.012
3.886	3.146	-0.000	2.933	2.381	-0.021	0.953	0.765	0.021
4.359	-2.448	0.000	3.294	-1.823	0.005	1.065	-0.625	-0.005
4.794	1.419	-0.000	4.202	1.340	-0.011	0.592	0.079	0.011
4.992	0.286	-0.000	4.496	0.329	0.028	0.497	-0.043	-0.028
4.574	2.021	-0.000	3.995	1.665	0.030	0.579	0.355	-0.030
4.920	-0.893	0.000	4.409	-0.854	0.063	0.511	-0.039	-0.063
4.925	0.861	0.000	3.938	0.623	0.062	0.987	0.238	-0.062
4.631	-1.885	0.000	3.482	-1.431	0.005	1.149	-0.454	-0.005
3.693	-3.370	-0.000	3.046	-2.816	-0.099	0.648	-0.554	0.099
3.495	-3.576	-0.000	2.651	-2.708	-0.000	0.844	-0.868	0.000
3.668	3.398	0.000	3.175	3.069	-0.004	0.493	0.329	0.004
2.997	4.003	0.000	2.568	3.569	-0.035	0.429	0.434	0.035
4.905	0.968	0.000	3.845	0.834	-0.025	1.061	0.134	0.025
4.091	-2.875	-0.000	3.425	-2.529	0.003	0.666	-0.346	-0.003
4.925	0.865	0.000	4.011	0.646	-0.073	0.914	0.219	0.073
4.927	0.852	-0.000	4.295	0.824	0.049	0.632	0.028	-0.049
3.751	3.306	-0.000	2.942	2.655	0.066	0.809	0.651	-0.066
4.963	0.608	-0.000	3.974	0.416	0.049	0.989	0.192	-0.049
4.627	1.894	-0.000	3.972	1.725	-0.037	0.655	0.169	0.037
5.000	0.077	0.000	4.314	0.108	0.087	0.686	-0.031	-0.087
4.777	-1.475	0.000	3.742	-1.096	0.048	1.035	-0.379	-0.048
3.890	3.142	0.000	3.151	2.612	-0.077	0.739	0.530	0.077
4.873	1.117	0.000	4.293	0.941	-0.089	0.579	0.177	0.089
2.462	4.351	-0.000	1.845	3.245	-0.004	0.617	1.106	0.004
3.230	3.816	0.000	2.668	3.268	0.068	0.562	0.549	-0.068
1.987	4.587	0.000	1.502	3.433	-0.010	0.486	1.154	0.010
4.132	2.814	-0.000	3.176	2.257	0.010	0.957	0.557	-0.010
2.995	-4.004	0.000	2.593	-3.543	-0.081	0.402	-0.462	0.081
2.195	-4.493	-0.000	1.704	-3.562	-0.072	0.491	-0.931	0.072
4.510	2.159	-0.000	3.420	1.684	-0.011	1.089	0.475	0.011
3.868	3.168	0.000	2.954	2.500	-0.019	0.914	0.668	0.019
4.982	-0.424	-0.000	4.635	-0.432	0.014	0.347	0.008	-0.014
3.935	3.085	-0.000	3.416	2.781	0.037	0.520	0.305	-0.037
4.925	-0.860	-0.000	4.430	-0.688	-0.029	0.494	-0.172	0.029
4.309	-2.535	-0.000	3.431	-1.926	-0.017	0.878	-0.609	0.017
2.365	-4.405	0.000	1.789	-3.369	0.040	0.576	-1.036	-0.040
4.669	1.791	0.000	4.072	1.529	-0.090	0.596	0.261	0.090
3.726	3.334	-0.000	3.150	2.869	-0.096	0.576	0.464	0.096
3.857	-3.182	-0.000	2.958	-2.504	0.025	0.900	-0.679	-0.025
4.677	-1.769	-0.000	3.581	-1.372	-0.042	1.096	-0.397	0.042
4.905	0.969	-0.000	3.924	0.777	0.087	0.981	0.192	-0.087
4.190	-2.729	0.000	3.780	-2.461	-0.076	0.410	-0.268	0.076
3.507	3.563	0.000	2.736	2.711	0.033	0.771	0.853	-0.033
2.944	-4.043	-0.000	2.440	-3.251	0.062	0.504	-0.791	-0.062
4.976	0.493	-0.000	4.636	0.487	-0.018	0.340	0.005	0.018
4.748	-1.566	-0.000	4.076	-1.448	-0.030	0.672	-0.118	0.030
3.530	3.541	0.000	2.841	2.952	0.063	0.689	0.589	-0.063
2.035	-4.566	-0.000	1.553	-3.423	-0.021	0.482	-1.144	0.021
4.999	-0.038	0.000	4.020	0.026	-0.074	0.979	-0.064	0.074
4.445	-2.288	-0.000	3.755	-1.848	-0.067	0.690	-0.441	0.067
4.977	-0.485	0.000	4.144	-0.461	0.080	0.833	-0.024	-0.080
3.406	-3.661	0.000	2.635	-2.825	-0.053	0.771	-0.836	0.053
4.879	1.095	-0.000	3.954	0.968	-0.051	0.925	0.128	0.051
2.807	4.137	0.000	2.177	3.206	-0.070	0.630	0.931	0.070
4.934	-0.814	-0.000	4.564	-0.792	-0.027	0.370	-0.023	0.027
4.858	-1.183	0.000	3.870	-0.997	0.068	0.989	-0.186	-0.068
4.675	-1.775	0.000	3.978	-1.579	-0.071	0.698	-0.197	0.071
3.315	3.745	0.000	2.658	3.073	-0.073	0.657	0.671	0.073
3.043	3.966	0.000	2.350	3.175	-0.055	0.693	0.791	0.055
3.702	-3.360	0.000	3.096	-2.675	-0.019	0.606	-0.685	0.019
5.000	-0.026	-0.000	4.163	-0.105	-0.057	0.836	0.079	0.057
3.934	3.086	0.000	3.416	2.721	0.089	0.518	0.366	-0.089
4.941	0.766	-0.000	4.042	0.727	-0.011	0.898	0.039	0.011
4.740	1.590	0.000	4.006	1.395	-0.087	0.734	0.195	0.087
4.873	1.118	-0.000	4.380	0.938	0.055	0.494	0.179	-0.055
1.867	4.638	-0.000	1.382	3.495	0.007	0.486	1.143	-0.007
2.942	4.043	0.000	2.259	3.097	0.049	0.683	0.946	-0.049
4.807	1.374	0.000	3.981	1.041	0.028	0.827	0.334	-0.028
3.947	3.068	-0.000	3.393	2.509	0.031	0.554	0.559	-0.031
4.807	-1.376	0.000	4.062	-1.254	0.050	0.745	-0.122	-0.050
4.749	1.562	0.000	3.960	1.211	-0.053	0.790	0.351	0.053
4.999	0.022	-0.000	3.944	0.097	-0.037	1.055	-0.075	0.037
4.849	-1.220	0.000	4.464	-1.163	0.040	0.385	-0.057	-0.040
2.714	-4.199	0.000	2.261	-3.675	-0.032	0.453	-0.524	0.032
4.435	-2.309	0.000	3.883	-2.123	-0.008	0.553	-0.185	0.008
4.772	-1.491	0.000	4.231	-1.395	-0.053	0.541	-0.097	0.053
4.933	0.815	0.000	4.162	0.592	0.034	0.771	0.223	-0.034
4.998	0.151	0.000	4.606	0.081	0.002	0.392	0.070	-0.002
4.756	-1.543	-0.000	3.806	-1.201	-0.084	0.950	-0.342	0.084
4.712	1.675	-0.000	3.713	1.350	0.066	0.998	0.325	-0.066
4.997	-0.151	-0.000	4.196	-0.204	-0.072	0.801	0.053	0.072
4.894	-1.022	0.000	4.202	-0.844	0.094	0.692	-0.178	-0.094
4.172	2.755	0.000	3.337	2.107	0.026	0.835	0.648	-0.026
4.857	-1.184	0.000	4.245	-0.969	-0.074	0.612	-0.215	0.074
4.991	-0.303	-0.000	4.512	-0.243	0.073	0.478	-0.060	-0.073
4.986	0.372	0.000	3.896	0.243	0.058	1.090	0.129	-0.058
2.858	-4.102	0.000	2.189	-3.129	-0.052	0.669	-0.973	0.052
3.771	3.281	-0.000	3.423	3.007	-0.073	0.349	0.274	0.073
1.974	-4.594	0.000	1.528	-3.759	0.047	0.446	-0.835	-0.047
4.856	1.191	0.000	3.873	0.920	0.074	0.984	0.271	-0.074
4.803	-1.389	0.000	3.658	-1.071	-0.042	1.145	-0.318	0.042
4.990	0.324	0.000	3.767	0.242	0.002	1.223	0.082	-0.002
3.646	3.421	0.000	2.785	2.594	-0.038	0.861	0.827	0.038
4.745	-1.576	0.000	3.849	-1.197	0.048	0.896	-0.379	-0.048
4.536	2.103	-0.000	3.989	1.933	0.048	0.548	0.170	-0.048
4.832	1.285	0.000	3.823	1.108	0.015	1.008	0.177	-0.015
3.637	-3.430	0.000	2.942	-2.674	0.057	0.695	-0.755	-0.057
4.989	-0.339	0.000	4.040	-0.359	-0.033	0.949	0.019	0.033
4.946	0.730	0.000	4.088	0.553	-0.088	0.858	0.178	0.088
4.300	-2.552	0.000	3.557	-2.219	-0.023	0.744	-0.333	0.023
5.000	0.016	-0.000	4.212	0.114	-0.004	0.788	-0.098	0.004
4.863	-1.166	-0.000	4.456	-1.045	-0.057	0.407	-0.121	0.057
4.766	1.512	-0.000	4.259	1.388	0.076	0.507	0.125	-0.076
3.357	3.705	0.000	2.788	2.937	0.002	0.569	0.768	-0.002
4.987	0.356	-0.000	3.849	0.276	0.064	1.138	0.080	-0.064
4.844	-1.240	-0.000	4.193	-1.165	-0.032	0.652	-0.076	0.032
4.558	-2.057	-0.000	4.136	-1.798	-0.043	0.422	-0.259	0.043
4.991	-0.309	-0.000	4.020	-0.255	0.088	0.971	-0.054	-0.088
3.887	3.146	-0.000	3.192	2.634	0.083	0.695	0.511	-0.083
3.149	-3.884	0.000	2.453	-2.969	0.044	0.696	-0.915	-0.044
3.240	3.808	-0.000	2.600	2.988	-0.071	0.640	0.820	0.071
3.658	-3.409	-0.000	3.091	-3.012	0.021	0.567	-0.397	-0.021
3.661	3.405	0.000	2.954	2.877	0.019	0.708	0.528	-0.019
2.765	-4.165	0.000	2.069	-3.164	0.027	0.696	-1.001	-0.027
4.623	1.906	0.000	4.133	1.785	-0.022	0.490	0.121	0.022
3.543	-3.528	-0.000	2.828	-2.751	-0.068	0.715	-0.777	0.068
4.450	-2.280	0.000	3.698	-1.893	-0.102	0.752	-0.387	0.102
3.951	3.065	-0.000	3.112	2.477	0.070	0.839	0.588	-0.070
2.786	-4.151	-0.000	2.189	-3.151	0.018	0.596	-1.000	-0.018
2.527	4.314	0.000	2.008	3.402	0.081	0.519	0.912	-0.081
4.760	1.530	0.000	4.017	1.257	0.098	0.743	0.273	-0.098
4.059	-2.918	0.000	3.559	-2.503	0.090	0.500	-0.416	-0.090
4.985	0.380	-0.000	3.716	0.288	-0.002	1.268	0.092	0.002
4.533	2.111	0.000	3.566	1.725	0.057	0.967	0.386	-0.057
4.995	-0.222	-0.000	4.258	-0.088	-0.006	0.737	-0.134	0.006
4.852	-1.204	-0.000	4.287	-1.083	0.094	0.565	-0.121	-0.094
4.776	-1.479	-0.000	3.683	-1.167	0.058	1.093	-0.312	-0.058
4.993	-0.252	-0.000	4.596	-0.258	-0.057	0.397	0.006	0.057
4.975	0.503	0.000	4.502	0.492	-0.067	0.473	0.011	0.067
5.000	-0.062	-0.000	3.789	-0.013	0.000	1.210	-0.048	-0.000
4.036	2.952	-0.000	3.202	2.265	0.037	0.834	0.687	-0.037
4.830	1.293	0.000	4.342	1.176	-0.081	0.488	0.117	0.081
4.952	0.698	0.000	3.999	0.524	-0.077	0.953	0.174	0.077
4.598	-1.964	-0.000	3.455	-1.461	0.018	1.142	-0.502	-0.018
3.812	-3.235	0.000	2.900	-2.459	0.044	0.912	-0.776	-0.044
4.982	-0.415	0.000	3.739	-0.293	0.004	1.244	-0.122	-0.004
3.734	3.326	0.000	3.260	2.798	-0.052	0.475	0.528	0.052
4.999	0.054	0.000	4.323	-0.005	-0.090	0.676	0.059	0.090
4.996	0.212	0.000	4.542	0.170	-0.070	0.454	0.042	0.070
4.664	-1.798	-0.000	3.856	-1.492	-0.104	0.808	-0.306	0.104
3.638	3.431	0.000	2.876	2.749	-0.069	0.762	0.682	0.069
4.644	-1.854	0.000	4.019	-1.601	0.096	0.625	-0.253	-0.096
3.800	3.249	-0.000	3.306	2.897	0.082	0.494	0.352	-0.082
2.512	-4.323	0.000	1.887	-3.251	-0.014	0.625	-1.072	0.014
4.345	-2.475	-0.000	3.488	-1.901	-0.025	0.858	-0.574	0.025
4.034	2.954	0.000	3.190	2.441	0.021	0.844	0.513	-0.021
4.600	1.961	-0.000	3.767	1.504	-0.007	0.833	0.456	0.007
4.990	-0.313	0.000	3.879	-0.174	0.003	1.111	-0.139	-0.003
4.972	-0.537	-0.000	4.511	-0.550	0.030	0.460	0.014	-0.030
4.613	1.927	0.000	3.638	1.531	-0.085	0.975	0.396	0.085
3.273	3.780	0.000	2.720	3.250	0.070	0.553	0.530	-0.070
4.997	-0.154	-0.000	4.050	-0.221	-0.004	0.947	0.067	0.004
3.881	3.154	0.000	3.056	2.514	0.068	0.825	0.641	-0.068
2.826	4.125	-0.000	2.135	3.119	-0.021	0.691	1.005	0.021
4.885	1.062	-0.000	4.317	0.844	-0.026	0.568	0.218	0.026
4.992	0.263	-0.000	3.730	0.185	-0.004	1.262	0.079	0.004
4.746	1.574	0.000	4.186	1.290	-0.015	0.560	0.284	0.015
4.412	-2.352	-0.000	3.355	-1.837	-0.022	1.057	-0.515	0.022
2.906	-4.068	-0.000	2.348	-3.426	0.064	0.558	-0.641	-0.064
4.793	-1.426	-0.000	3.915	-1.217	0.080	0.877	-0.208	-0.080
4.926	0.853	-0.000	4.484	0.700	0.015	0.442	0.153	-0.015
3.663	-3.403	-0.000	3.000	-2.698	0.069	0.663	-0.705	-0.069
4.958	-0.652	0.000	4.215	-0.638	-0.048	0.743	-0.014	0.048
4.989	-0.329	-0.000	4.456	-0.332	0.077	0.533	0.003	-0.077
4.804	1.385	-0.000	4.224	1.244	-0.090	0.581	0.141	0.090
4.881	-1.081	-0.000	4.058	-0.982	-0.069	0.822	-0.099	0.069
2.859	-4.101	-0.000	2.142	-3.173	0.001	0.717	-0.928	-0.001
3.391	3.675	-0.000	2.820	2.920	-0.016	0.571	0.755	0.016
3.618	-3.450	-0.000	2.705	-2.594	-0.001	0.913	-0.856	0.001
2.919	-4.059	0.000	2.364	-3.312	0.099	0.554	-0.747	-0.099
4.591	-1.980	-0.000	3.574	-1.616	0.037	1.017	-0.365	-0.037
4.586	1.991	-0.000	3.431	1.487	0.001	1.154	0.504	-0.001
4.995	-0.217	-0.000	3.875	-0.162	0.068	1.120	-0.056	-0.068
4.985	0.384	0.000	4.067	0.250	-0.071	0.918	0.134	0.071
5.000	0.083	-0.000	3.792	0.084	0.009	1.208	-0.000	-0.009
4.785	1.448	0.000	3.864	1.219	-0.085	0.921	0.229	0.085
4.647	-1.847	-0.000	3.973	-1.619	-0.089	0.674	-0.228	0.089
4.971	0.533	0.000	3.895	0.495	0.031	1.076	0.038	-0.031
2.808	4.137	0.000	2.221	3.442	0.002	0.587	0.695	-0.002
4.567	2.035	0.000	3.614	1.708	-0.016	0.953	0.327	0.016
4.669	1.787	0.000	3.804	1.434	0.097	0.865	0.352	-0.097
4.551	2.069	0.000	3.575	1.648	-0.082	0.976	0.421	0.082
4.004	2.994	0.000	3.025	2.247	-0.033	0.978	0.747	0.033
4.542	2.092	-0.000	3.961	1.741	-0.057	0.581	0.351	0.057
3.514	-3.556	0.000	3.000	-3.036	-0.104	0.514	-0.521	0.104
3.247	-3.802	0.000	2.750	-3.287	-0.093	0.496	-0.515	0.093
4.566	-2.038	-0.000	4.055	-1.837	0.084	0.511	-0.201	-0.084
3.406	-3.661	0.000	2.753	-3.092	-0.037	0.653	-0.569	0.037
3.629	-3.440	-0.000	3.094	-2.799	0.018	0.535	-0.641	-0.018
4.986	-0.366	0.000	3.762	-0.321	0.003	1.224	-0.044	-0.003
4.078	-2.892	0.000	3.059	-2.167	0.024	1.019	-0.725	-0.024
3.135	3.895	0.000	2.701	3.363	-0.102	0.433	0.532	0.102
4.951	0.690	0.000	4.353	0.530	-0.064	0.598	0.160	0.064
3.264	-3.788	0.000	2.607	-3.165	-0.028	0.656	-0.623	0.028
3.147	3.885	-0.000	2.428	3.112	-0.038	0.719	0.773	0.038
4.957	0.647	0.000	4.398	0.612	0.086	0.560	0.035	-0.086
4.734	-1.607	0.000	4.262	-1.500	-0.062	0.473	-0.107	0.062
2.729	4.190	-0.000	2.064	3.166	-0.021	0.665	1.023	0.021
4.638	1.869	-0.000	4.008	1.520	-0.037	0.630	0.349	0.037
4.164	-2.767	0.000	3.649	-2.311	0.036	0.515	-0.456	-0.036
4.770	-1.500	-0.000	4.125	-1.386	0.049	0.645	-0.114	-0.049
1.664	4.715	0.000	1.311	3.788	-0.083	0.353	0.927	0.083
2.211	4.485	0.000	1.695	3.583	-0.047	0.516	0.902	0.047
4.721	1.647	0.000	4.313	1.521	-0.066	0.408	0.126	0.066
4.999	0.127	0.000	4.338	0.038	0.059	0.661	0.089	-0.059
4.389	2.393	0.000	3.705	1.906	-0.024	0.684	0.488	0.024
4.809	-1.367	0.000	3.716	-1.038	-0.058	1.093	-0.329	0.058
1.876	4.635	0.000	1.391	3.535	0.007	0.485	1.099	-0.007
3.441	-3.628	0.000	2.941	-3.045	-0.090	0.500	-0.583	0.090
4.281	2.583	0.000	3.326	2.035	0.066	0.955	0.548	-0.066
3.347	-3.715	0.000	2.772	-2.944	-0.001	0.574	-0.771	0.001
4.602	-1.956	-0.000	4.042	-1.737	-0.087	0.561	-0.219	0.087
3.674	3.393	-0.000	3.023	2.899	-0.050	0.651	0.494	0.050
3.999	3.002	-0.000	3.198	2.324	0.049	0.801	0.678	-0.049
4.631	1.882	-0.000	4.057	1.746	-0.033	0.574	0.136	0.033
4.841	1.251	0.000	4.317	1.071	0.077	0.525	0.180	-0.077
5.000	-0.092	0.000	4.242	-0.172	-0.024	0.758	0.080	0.024
4.468	-2.245	0.000	3.442	-1.768	-0.048	1.026	-0.477	0.048
4.999	0.049	-0.000	4.383	-0.047	-0.040	0.616	0.096	0.040
3.365	3.698	-0.000	2.846	3.206	0.087	0.519	0.492	-0.087
2.717	4.197	-0.000	2.091	3.206	0.047	0.626	0.991	-0.047
4.799	-1.403	-0.000	3.735	-1.063	-0.056	1.064	-0.340	0.056
4.972	0.532	-0.000	3.922	0.376	-0.063	1.049	0.156	0.063
4.999	-0.079	0.000	4.202	-0.162	0.031	0.797	0.083	-0.031
4.056	2.924	-0.000	3.516	2.410	-0.001	0.540	0.514	0.001
4.697	-1.714	0.000	3.630	-1.399	-0.014	1.067	-0.315	0.014
4.988	0.342	-0.000	4.163	0.346	0.080	0.826	-0.004	-0.080
4.892	1.035	-0.000	4.047	0.840	0.092	0.845	0.196	-0.092
4.803	1.389	0.000	4.438	1.337	-0.006	0.364	0.052	0.006
4.998	-0.136	-0.000	4.175	-0.202	0.044	0.823	0.066	-0.044
4.999	0.116	-0.000	3.895	0.112	0.063	1.103	0.004	-0.063
4.279	-2.584	0.000	3.203	-1.918	0.011	1.076	-0.666	-0.011
4.840	-1.254	-0.000	3.859	-1.091	-0.017	0.981	-0.163	0.017
3.562	-3.509	0.000	2.956	-3.053	-0.005	0.606	-0.456	0.005
4.194	2.721	-0.000	3.291	2.099	0.070	0.903	0.622	-0.070
4.829	1.296	-0.000	3.742	1.046	-0.055	1.087	0.251	0.055
4.999	-0.079	0.000	3.793	-0.091	0.000	1.206	0.012	-0.000
4.685	1.745	0.000	4.209	1.508	0.068	0.476	0.237	-0.068
3.657	3.410	-0.000	2.754	2.609	0.032	0.903	0.800	-0.032
3.866	-3.171	-0.000	3.276	-2.750	0.084	0.591	-0.420	-0.084
4.082	-2.887	0.000	3.222	-2.303	0.079	0.860	-0.585	-0.079
4.760	1.528	-0.000	4.252	1.330	-0.086	0.507	0.197	0.086
4.935	-0.796	0.000	4.166	-0.580	-0.055	0.769	-0.216	0.055
2.931	-4.051	-0.000	2.507	-3.459	-0.103	0.424	-0.592	0.103
2.495	4.333	0.000	2.037	3.393	-0.041	0.458	0.940	0.041
2.995	4.004	-0.000	2.258	3.029	-0.011	0.737	0.975	0.011
4.125	-2.826	0.000	3.407	-2.426	-0.068	0.718	-0.399	0.068
1.954	4.602	-0.000	1.464	3.469	0.007	0.491	1.133	-0.007
4.404	2.366	-0.000	3.422	1.871	-0.068	0.982	0.496	0.068
4.878	1.103	0.000	4.351	1.059	-0.035	0.527	0.044	0.035
3.555	-3.516	0.000	3.085	-3.130	0.074	0.470	-0.385	-0.074
4.935	0.798	-0.000	3.901	0.701	-0.054	1.034	0.097	0.054
4.856	-1.187	0.000	3.836	-1.014	-0.050	1.021	-0.173	0.050
4.978	-0.461	-0.000	3.920	-0.368	-0.082	1.058	-0.093	0.082
3.208	-3.835	-0.000	2.690	-3.296	0.085	0.518	-0.540	-0.085
4.753	1.551	-0.000	3.643	1.157	0.048	1.110	0.394	-0.048
3.464	-3.606	-0.000	2.897	-2.975	-0.095	0.566	-0.631	0.095
4.164	-2.769	-0.000	3.711	-2.542	0.052	0.452	-0.227	-0.052
4.895	1.023	0.000	3.928	0.783	-0.073	0.967	0.241	0.073
4.999	0.085	0.000	3.872	0.009	-0.031	1.127	0.077	0.031
3.583	3.487	0.000	2.862	2.920	0.020	0.721	0.567	-0.020
4.948	0.715	-0.000	4.024	0.504	-0.059	0.924	0.211	0.059
4.775	-1.481	0.000	4.172	-1.372	0.065	0.603	-0.109	-0.065
4.754	1.550	0.000	3.711	1.243	0.067	1.043	0.307	-0.067
3.073	-3.944	0.000	2.326	-2.964	0.005	0.747	-0.980	-0.005
4.959	-0.635	0.000	4.555	-0.612	0.054	0.404	-0.023	-0.054
4.986	-0.376	-0.000	4.020	-0.261	-0.080	0.966	-0.115	0.080
4.871	-1.129	0.000	4.161	-0.944	-0.095	0.710	-0.185	0.095
3.965	3.045	0.000	3.040	2.286	-0.041	0.924	0.759	0.041
4.989	0.316	0.000	3.747	0.211	-0.002	1.242	0.105	0.002
2.580	4.282	0.000	2.008	3.271	-0.053	0.572	1.011	0.053
4.851	1.209	0.000	4.302	0.982	0.040	0.549	0.227	-0.040
3.198	-3.843	0.000	2.563	-3.225	-0.034	0.635	-0.619	0.034
3.677	3.388	-0.000	3.106	2.982	-0.050	0.571	0.406	0.050
3.936	-3.082	-0.000	2.967	-2.355	0.035	0.969	-0.728	-0.035
4.999	0.083	0.000	4.404	-0.012	0.040	0.595	0.095	-0.040
3.581	3.488	0.000	2.668	2.638	0.008	0.913	0.851	-0.008
4.861	1.170	-0.000	3.814	0.999	-0.026	1.047	0.171	0.026
4.414	-2.348	-0.000	3.537	-1.991	-0.020	0.877	-0.358	0.020
4.999	-0.049	-0.000	4.177	-0.143	-0.001	0.822	0.094	0.001
5.000	0.011	-0.000	4.473	-0.013	0.081	0.527	0.024	-0.081
4.985	-0.374	-0.000	4.110	-0.384	-0.070	0.875	0.011	0.070
4.848	1.224	-0.000	3.960	1.003	-0.095	0.888	0.221	0.095
4.431	-2.316	0.000	3.526	-1.946	0.022	0.905	-0.370	-0.022
3.227	3.818	-0.000	2.867	3.402	-0.093	0.360	0.416	0.093
3.336	-3.724	0.000	2.669	-3.060	0.079	0.667	-0.664	-0.079
4.750	1.561	0.000	3.896	1.385	-0.006	0.854	0.177	0.006
2.782	4.155	-0.000	2.243	3.332	-0.087	0.539	0.823	0.087
5.000	-0.073	0.000	4.382	0.007	-0.054	0.618	-0.080	0.054
3.942	3.075	0.000	3.156	2.382	0.050	0.787	0.693	-0.050
2.125	-4.525	0.000	1.657	-3.761	-0.027	0.469	-0.764	0.027
4.732	-1.613	-0.000	3.952	-1.435	0.065	0.780	-0.177	-0.065
3.455	3.613	-0.000	2.575	2.702	-0.007	0.880	0.911	0.007
4.848	1.223	0.000	4.484	1.183	0.005	0.363	0.040	-0.005
3.710	3.352	-0.000	2.826	2.561	-0.044	0.884	0.791	0.044
4.878	1.097	0.000	3.952	0.811	-0.047	0.927	0.286	0.047
3.989	3.016	-0.000	3.076	2.353	-0.053	0.913	0.663	0.053
4.429	-2.321	-0.000	3.725	-1.916	0.095	0.704	-0.405	-0.095
4.962	-0.612	0.000	3.901	-0.523	0.066	1.061	-0.089	-0.066
4.843	1.244	0.000	4.050	1.016	0.098	0.792	0.228	-0.098
4.993	0.254	-0.000	3.986	0.294	0.018	1.007	-0.040	-0.018
4.301	-2.548	-0.000	3.359	-2.061	0.056	0.942	-0.487	-0.056
4.930	0.835	-0.000	3.754	0.674	-0.020	1.176	0.161	0.020
4.058	2.922	0.000	3.568	2.459	0.040	0.489	0.463	-0.040
3.377	-3.687	-0.000	2.808	-3.177	0.065	0.570	-0.510	-0.065
2.642	4.245	-0.000	2.039	3.346	0.068	0.603	0.899	-0.068
4.994	-0.231	-0.000	3.991	-0.265	-0.037	1.004	0.035	0.037
4.152	2.786	0.000	3.378	2.384	-0.012	0.774	0.403	0.012
